SecuCode,FirstIndustryName
300149,农林牧渔
002606,电力设备
002528,电子元器件
002531,电力设备
300162,电子元器件
300180,基础化工
002570,食品饮料
300193,机械
002546,计算机
002706,电力设备
300200,基础化工
002562,基础化工
002571,轻工制造
300388,电力及公用事业
300385,电力及公用事业
300557,机械
603811,医药
300619,机械
300580,汽车
603358,汽车
300577,纺织服装
300602,电子元器件
600410,计算机
600416,电力设备
600435,国防军工
600438,农林牧渔
600466,房地产
600468,电力设备
600489,有色金属
600491,建筑
600509,电力及公用事业
600511,医药
600528,建筑
600530,医药
600549,有色金属
600551,传媒
600566,医药
600568,房地产
600570,计算机
600584,电子元器件
600586,建材
600601,计算机
600603,房地产
600618,基础化工
600620,房地产
600635,电力及公用事业
600637,传媒
600652,传媒
600654,电子元器件
600671,医药
600684,房地产
600686,汽车
600688,石油石化
600701,综合
600703,电子元器件
600718,计算机
600720,建材
600735,商贸零售
600737,农林牧渔
600754,餐饮旅游
600769,电力及公用事业
600771,医药
600801,建材
600803,基础化工
600805,汽车
600818,汽车
600820,建筑
600835,机械
600837,非银行金融
600854,家电
600869,电力设备
600871,石油石化
600886,电力及公用事业
600888,有色金属
600966,轻工制造
600969,电力及公用事业
603006,汽车
300282,电子元器件
002580,电力设备
300207,电子元器件
300402,机械
601222,电力设备
300215,电力设备
300219,电子元器件
300217,家电
002583,通信
300228,机械
300242,传媒
300241,电子元器件
603117,交通运输
603997,汽车
603389,轻工制造
300579,计算机
300393,电力设备
002781,建筑
603030,建筑
603899,轻工制造
603797,电力及公用事业
000011,房地产
000024,房地产
000026,商贸零售
000042,房地产
000045,电子元器件
000066,计算机
000069,房地产
000158,计算机
000415,非银行金融
000498,建筑
000502,房地产
000518,医药
000520,交通运输
000537,房地产
000552,煤炭
000554,石油石化
000571,煤炭
000589,汽车
000591,电力及公用事业
000607,传媒
000609,房地产
000626,商贸零售
000628,房地产
000655,钢铁
000657,有色金属
000673,传媒
000676,电力设备
000692,电力及公用事业
000695,电力及公用事业
000710,汽车
000712,非银行金融
000727,电子元器件
000729,食品饮料
000755,基础化工
000757,汽车
000779,电子元器件
000782,石油石化
000799,食品饮料
000801,国防军工
000819,石油石化
000821,机械
000838,房地产
000848,食品饮料
000876,农林牧渔
000878,有色金属
000895,食品饮料
000912,基础化工
000915,医药
000931,房地产
000933,综合
000958,电力及公用事业
000960,有色金属
000977,计算机
000979,房地产
000998,农林牧渔
002001,医药
002253,计算机
002236,电子元器件
002248,机械
002262,医药
002260,家电
601668,建筑
002269,纺织服装
002284,汽车
002289,电子元器件
300370,机械
002296,通信
600999,非银行金融
002599,传媒
002419,商贸零售
300255,医药
300252,国防军工
002611,机械
300268,农林牧渔
300294,医药
002621,机械
300274,电力设备
300415,机械
002768,基础化工
002730,电力设备
002791,建筑
300463,医药
002742,建材
300455,计算机
603730,汽车
300441,机械
603883,医药
002735,轻工制造
300529,医药
603608,纺织服装
601069,有色金属
300492,房地产
601968,轻工制造
603919,食品饮料
603569,汽车
300480,机械
300471,机械
603612,有色金属
300432,汽车
002832,纺织服装
300392,传媒
603977,基础化工
603900,商贸零售
002841,电子元器件
603877,纺织服装
600010,钢铁
600020,交通运输
600033,交通运输
600055,医药
600062,医药
600069,轻工制造
600080,医药
600087,交通运输
600094,房地产
600105,通信
600112,电力设备
600119,交通运输
600131,电力及公用事业
600139,有色金属
600151,电力设备
600163,电力设备
600171,电子元器件
600179,综合
600190,交通运输
600198,通信
600206,电子元器件
600218,汽车
600226,基础化工
600233,交通运输
600246,房地产
600253,医药
600261,家电
600273,基础化工
600281,基础化工
600288,电子元器件
600300,食品饮料
600308,轻工制造
600316,国防军工
600328,基础化工
600336,家电
600346,石油石化
600358,餐饮旅游
600366,有色金属
600373,传媒
600386,传媒
600393,房地产
600401,电子元器件
601880,交通运输
601558,电力设备
300151,机械
002567,农林牧渔
300159,机械
300170,计算机
300172,电力及公用事业
601137,有色金属
300197,建筑
300184,电子元器件
002769,交通运输
300340,基础化工
300229,计算机
300186,农林牧渔
002556,基础化工
002565,轻工制造
300375,汽车
601992,综合
300214,基础化工
002721,商贸零售
601579,食品饮料
002838,基础化工
603336,农林牧渔
300623,电子元器件
601375,非银行金融
603881,计算机
300571,通信
603178,汽车
603078,基础化工
603803,通信
300638,通信
300608,计算机
002157,农林牧渔
002171,有色金属
002165,基础化工
601169,银行
300477,电力设备
002203,有色金属
002206,石油石化
002209,机械
002211,基础化工
002221,石油石化
601958,有色金属
603686,电力及公用事业
002634,纺织服装
603001,纺织服装
002635,计算机
300298,医药
002857,机械
603960,机械
600420,医药
600429,食品饮料
600444,基础化工
600452,电力及公用事业
600462,通信
600475,电力设备
600483,电力及公用事业
600488,医药
600497,有色金属
600505,电力及公用事业
600512,建筑
600517,电力设备
600525,电子元器件
