PortCode,IR
ZH917803,-0.5296917425732927
ZH760866,-0.5294072226537805
ZH1015079,-0.5290591220359518
ZH961532,-0.5273519653146946
ZH073156,-0.527313536469725
ZH108383,-0.5250677549267434
ZH938727,-0.5237393223394935
ZH565594,-0.5235275887398986
ZH133161,-0.5227903003997771
ZH898909,-0.5194006500140127
ZH791941,-0.5190676090183611
ZH885540,-0.5164863053076109
ZH334384,-0.5163854434629589
ZH423413,-0.5140064803365988
ZH883522,-0.5138798869826892
ZH831362,-0.5138323073348554
ZH737475,-0.5109003770731961
ZH222380,-0.5086070314100073
ZH748432,-0.5076480514887278
ZH950610,-0.5067580612830671
ZH735949,-0.506565859651206
ZH240525,-0.5065245213115199
ZH938994,-0.5061636074229156
ZH543265,-0.501872505337741
ZH241566,-0.5010436816648559
ZH890728,-0.4993371238990312
ZH951668,-0.497795432750201
ZH651054,-0.49665064191162744
ZH929980,-0.4961491308507293
ZH806420,-0.49604196843390025
ZH959141,-0.4957197644766432
ZH959921,-0.49469985889384804
ZH813404,-0.4945576448175102
ZH950752,-0.4944605875671155
ZH009095,-0.4942923602282134
ZH193253,-0.49355743099191324
ZH320649,-0.4931910164443284
ZH723035,-0.4914086105396448
ZH842555,-0.49118208872588587
ZH778568,-0.4910639786274878
ZH938101,-0.4887302132271884
ZH195001,-0.48858115284212694
ZH737255,-0.48853872769847606
ZH964424,-0.4870836295007414
ZH874154,-0.4854315427476102
ZH930388,-0.48491553919685726
ZH950995,-0.4842167436830876
ZH891875,-0.4833558832319746
ZH835808,-0.4830831055381875
ZH275939,-0.48294760156525157
ZH819954,-0.4821918042186322
ZH206258,-0.48127252069087145
ZH928401,-0.4804502456521358
ZH938898,-0.4789746049576784
ZH530502,-0.47866524100918967
ZH233438,-0.47839049414504214
ZH251339,-0.47710825395130985
ZH184669,-0.475889865030126
ZH715187,-0.47569529047512016
ZH917039,-0.4728974403516346
ZH754203,-0.4723219318442958
ZH501979,-0.471511729422763
ZH965186,-0.46993834121929334
ZH766568,-0.4689795673058054
ZH957716,-0.46874163798603596
ZH624700,-0.4682494516590256
ZH657917,-0.46811352281608604
ZH247768,-0.4660526864542789
ZH719076,-0.46427511981640895
ZH659545,-0.4642648954807993
ZH148834,-0.46165033556106816
ZH089783,-0.46095551626331305
ZH915418,-0.45940701428751163
ZH917348,-0.4553758809912301
ZH721178,-0.4545796270268198
ZH371807,-0.45402536071796396
ZH749538,-0.45399956265045116
ZH763050,-0.45185616887903707
ZH781630,-0.45157373845048887
ZH915162,-0.4504280883504128
ZH422001,-0.45026033032988155
ZH368969,-0.4499819056667336
ZH857153,-0.44990127857617224
ZH937446,-0.4482224716633766
ZH942568,-0.4457421730246286
ZH291273,-0.445579398855597
ZH508177,-0.4450730917045515
ZH712254,-0.4447488196261519
ZH136643,-0.4446714335775068
ZH774743,-0.4439107145563897
ZH945134,-0.44252228172145736
ZH857174,-0.4422260586975638
ZH941687,-0.4420935098376733
ZH214616,-0.44050869553095506
ZH897279,-0.44021678747175885
ZH729607,-0.4375873155774531
ZH707736,-0.437457430558719
ZH471139,-0.43594984632816136
ZH157887,-0.43583574291769156
ZH952433,-0.435494427268034
ZH684228,-0.43522413563230194
ZH874214,-0.4344834518378167
ZH936905,-0.4343598392862481
ZH949606,-0.4327755895074546
ZH878518,-0.43259495378441754
ZH691467,-0.4323147910212009
ZH625856,-0.4320931935915038
ZH727969,-0.4312864230082485
ZH112109,-0.4307331713345128
ZH910830,-0.430129208578673
ZH669221,-0.4295155114968018
ZH928092,-0.4276892144137569
ZH655670,-0.42682878698566873
ZH253073,-0.42677370361852124
ZH722714,-0.4265708739356273
ZH790762,-0.42592949463517676
ZH566020,-0.42583460642120513
ZH890788,-0.42491450671099545
ZH918189,-0.424018129209312
ZH729172,-0.4239182390161247
ZH657966,-0.421991344818156
ZH700506,-0.42194277004652836
ZH881958,-0.42125727461789314
ZH827287,-0.4209406136005223
ZH752048,-0.4207500847671385
ZH694233,-0.41981351564528196
ZH127977,-0.4174443486680447
ZH621134,-0.41726457288631114
ZH816167,-0.41720463853879086
ZH723902,-0.4169951502680488
ZH829707,-0.416641730389246
ZH080739,-0.4165260910067196
ZH026690,-0.41620872140341053
