TradingDay,Bank,Appliance
2015-04-09,-125.08200000000852,-222.5269999999964
2015-04-10,-162.60600000000795,-170.19099999999708
2015-04-13,-211.84300000000894,-124.93699999999717
2015-04-14,-236.85400000000845,-66.53799999999865
2015-04-15,-235.36500000000615,-4.665999999999258
2015-04-16,-268.73600000000533,-21.096999999999753
2015-04-17,-257.9610000000057,-28.19000000000051
2015-04-20,-186.76000000000477,-8.311999999999898
2015-04-21,-157.86900000000514,-63.475000000000364
2015-04-22,-132.56900000000314,-180.51400000000285
2015-04-23,-54.25100000000293,-232.50700000000143
2015-04-24,22.357999999997446,-259.03100000000086
2015-04-27,6.771999999997206,-340.58500000000095
2015-04-28,2.3999999999987267,-311.46100000000297
2015-04-29,17.00499999999829,-249.33100000000195
2015-04-30,4.351999999998043,-219.19000000000233
