PortCode,IR,num_week,mean,std
ZH875513,-0.32979817180980875,57,-0.014517461239491224,0.04401922897214632
ZH945840,-0.32907563793685124,8,-0.020157743367411347,0.06125565384843094
ZH960215,-0.3251518325741782,13,-0.008100409478263694,0.02491269821281329
ZH887502,-0.32443575242767536,55,-0.02566380554572269,0.07910288972065056
ZH581692,-0.32138587073377667,101,-0.02212753531899031,0.06885036753006446
ZH935449,-0.3167566190241687,34,-0.015343606305662116,0.04843973380234681
ZH714766,-0.31406167062544815,86,-0.016997071944715798,0.054120172992987124
ZH946794,-0.3109307133252876,28,-0.022119983171204945,0.07114119713244152
ZH1007107,-0.3037066645589566,26,-0.015573504985555823,0.05127811405841783
ZH936284,-0.303363706146443,44,-0.024685406098960708,0.0813723118448596
ZH792218,-0.3028959591669815,75,-0.021663697560913707,0.07152191009907423
ZH917803,-0.30220842633472694,48,-0.022025940211133226,0.07288327621526089
ZH409248,-0.3019708259232061,110,-0.020094790175776835,0.06654546880262903
ZH901276,-0.30157353915901,52,-0.020485040732583858,0.06792718217158554
ZH778926,-0.2987056981763966,76,-0.018769490875973297,0.06283606570132863
ZH874154,-0.29147984135203775,58,-0.014020545303740632,0.048101252006677114
ZH891985,-0.2913543044265158,54,-0.012663458959431887,0.04346412174811652
ZH732310,-0.2908831255173873,83,-0.016765397798499473,0.05763619931090617
ZH970957,-0.28628829986013443,3,-0.05892016461615881,0.20580709950404585
ZH951613,-0.2854895504781485,7,-0.01593745337866028,0.05582499727912157
ZH099697,-0.2844596405652842,128,-0.015118596200755459,0.053148475371449753
ZH716586,-0.284120942959229,85,-0.0042090279621983,0.014814212280022911
ZH911677,-0.2826590148184144,49,-0.005672074694213318,0.02006684519811678
ZH810548,-0.28217089021767316,71,-0.010063174183339112,0.0356634030376987
ZH883691,-0.2819687525578252,56,-0.00959069285951648,0.034013318045054135
ZH909158,-0.2810974680277314,50,-0.01826645559537314,0.06498264009112698
ZH960476,-0.2802822112600307,37,-0.019223037944456487,0.0685845807268246
ZH847854,-0.2796660336689409,63,-0.018387335816194936,0.06574747592680932
ZH949881,-0.27884819888465223,40,-0.013169922000768733,0.04722971872669895
ZH096230,-0.27657464365296197,129,-0.016969443752531725,0.06135574660208006
ZH836869,-0.2714693063361598,65,-0.005083868868546677,0.018727232692197383
ZH836258,-0.26910056650576125,66,-0.010236257465690544,0.038038780811973476
ZH338481,-0.26782147096230136,113,-0.012233099611302103,0.04567632149635993
ZH478673,-0.2633152470260102,107,-0.015734718406214827,0.059756199399499846
ZH819884,-0.2631300932578075,69,-0.011587798462533619,0.044038286609734974
ZH890477,-0.26215098928384734,54,-0.02194508772999959,0.08371163423777228
ZH690413,-0.26101095723369067,91,-0.01558645185162948,0.05971569935922069
ZH879960,-0.25960763800142306,56,-0.008755518652415964,0.033725967077933086
ZH959141,-0.25946736081703226,5,-0.0135657329302887,0.05228300348672681
ZH117626,-0.25893062490303675,128,-0.0007767583656543276,0.0029998705867457925
ZH975106,-0.2583162593271063,34,-0.005567756040903576,0.021554028598149984
ZH951668,-0.2578106524106587,40,-0.020901514773209173,0.08107312315363832
ZH798142,-0.25755910913695623,74,-0.0128744266239988,0.04998629893984012
ZH624904,-0.2557136350124352,99,-0.011023278318383914,0.043107902000798115
ZH956757,-0.25537603745561294,12,-0.007407655838985571,0.02900685558751024
ZH806420,-0.25316869185870366,61,-0.01875100222464019,0.07406524909132658
ZH591910,-0.2531553591497406,101,-0.013101836553224283,0.051754134683258235
ZH474343,-0.2520750857667626,107,-0.004637787530370768,0.018398436784276145
ZH924241,-0.251942760953534,46,-0.0072057639571429235,0.028600797775935653
ZH819704,-0.25081259092904684,69,-0.005611858058686065,0.022374706301222416
ZH890728,-0.2500963200315982,54,-0.014775165624573294,0.059077900957145386
ZH997557,-0.2494757529255352,28,-0.016127616962099783,0.06464602981642724
ZH881042,-0.24926700764316237,56,-0.010112078234733628,0.0405672548900236
ZH819954,-0.24740641893818674,69,-0.012883759828268799,0.05207528520708164
ZH791941,-0.2468886933692497,75,-0.010419809028572787,0.04220448043357253
ZH897285,-0.24678558539139198,52,-0.003252809177278241,0.013180709773301455
ZH557641,-0.24649839287129952,103,-0.010095568577219006,0.04095592048135605
ZH872236,-0.24568845396960998,58,-0.007940371172724362,0.03231886173090793
ZH371807,-0.2443023716346667,112,-0.009441024274387005,0.03864483267688146
ZH941845,-0.2441654200295896,42,-0.010157198653433315,0.04159966080455782
